Number,Category,Tag,Proirity,Relates to ,Complexity,Track ,DDA Item,Feature_Name,Summary,To be picked up,Remarks
1,Product,Reporting,High,2,Low,,,Status-Based Reporting Implementation,"Deploy 23-status-code tracking system to enable accurate measurement of all sharing requests. Foundation for all optimization. Database schema enhancement to track status transition history (previous_status, timestamps) for journey analysis.",Yes,To have a discussion to showcase the new model and the possible reports that can be achived once its available 
2,Technical,,Low,,Medium ,,,Document Pre-Check API,API endpoint for SPs to verify document availability before creating share requests. Prevents futile requests.,,
3,Product,Error Handling ,High,1,High,,,Deadend/Failtures scinarios analysis,Identify the cases where the user does not have a next action and if we can enhance the UX ,Yes,
4,Product,Success Rate Improvement,Low,1,Medium ,,,Android Optimization Sprint,"Dedicated investigation and fix sprint for Android platform covering notifications, UX friction, crashes, and performance.",No,
5,Product,Reporting,High,1,Medium ,,Yes,User Behavior Analytics Tool Selection,"Select and integrate analytics tool (UXCam/Firebase Analytics) to enable data-driven optimization, session replay, and Real User Monitoring (RUM) for user behavior patterns.",,
6,Product,Success Rate Improvement,Medium ,,Low,,Yes,Smart Pending Request Auto-Redirect ,Two-part system: (1) Auto-redirect users to pending sharing request on app open; (2) ,Yes,
7,UX,,High,,Medium ,,,UX Enhancements Bundle,Placeholder for UI/UX enhancements.,,
8,Technical,,High,,Medium ,,,Error-to-Status Code Linking System,Structured error taxonomy mapped to status codes for automated troubleshooting and support ticket reduction.,Yes,
9,Product,New Feature,High,,Medium ,,,Dual Citizenship GA,Complete Primary/Secondary EID handling with final EN/AR copy approval and edge case handling.,Yes,
10,Product,New Feature,High,,Low,,,Auto-Add Documents Launch / One-Time Consent,One-time consent for DV to periodically check and auto-add new/updated documents from issuers.,Yes,Pending Legal TDRA approval
11,Product,New Feature,Low,,Low,,Yes,Customer Feedback Mechanism,In-app feedback tool and banner for user research recruitment to enable continuous discovery and UX validation.,No,
12,Product,Onboarding team Inititive,Low,,Medium ,,,SP Quality Scoring Program,"Dashboard showing SP conversion metrics, quality scorecard, best practices guidance, and quarterly reviews.",No,
13,Product,New Feature,Medium ,,Medium ,,,QR code reimagined ,Evaluate the current usage of the QR code in the APP and suggest a better alternative ,Yes,
14,Product,New Feature,High,,High,,Yes,AI Chatbot / AI Agent for Uploaded Documents,"Advanced chatbot for document search, request assistance, language translation, and summarization. User-facing scope",Yes,
15,Product,New Feature,Low,,Hight,,,Selective Disclosure (Attribute-Level),Critical industry standard allowing users to share only necessary attributes rather than entire documents. Enhances user control and privacy.,No,
16,Design,,TBD,,TBD,,Yes,Design System Update,Update and maintain the DV design system for consistency across platforms.,Yes,
17,UX,,TBD,,TBD,,Yes,Home Page Revamp,Redesign the DV home page for improved user experience and engagement.,Yes,
18,UX,,High,,Medium ,,,UX/UI Enhancements Bundle 2,Second bundle of UI/UX improvements based on user feedback and analytics.,Yes,
19,SP ,,High,,Low,SP track ,,Form Filler,Auto-fill forms using stored document data to streamline user workflows.,Yes,Service Provider related
20,Product,New Feature,High,,High,,,Consent Sharing (Third Party Data),Sharing third party data via providing consent mechanism.,Yes,
21,Product,Study,Medium ,,High,,Yes,UAE Pass for Business (Study),Research and feasibility study for UAE Pass business use cases.,Yes,
22,Product,New Inititive ,,,,,,Innovation Track,Exploratory initiatives and innovation projects for future capabilities.,,
23,Product,Strategy ,,,,,,Extend UAE PASS App Services /Service Enabler / Data,Extend the functionalities of UAE PASS to allow users to utilize services directly from the app.,,
24,Technical,,Medium ,,Medium,,,Current Issues Solutions,Resolution of known technical issues and bugs.,Yes,
25,Technical,,Low,,High,,,Unify Verification Methods (eSeal / UAE Verify),Consolidate and unify eSeal and UAE Verify verification methods.,,
26,Technical,,Medium ,,Low,,,License QR Code Display Fix,Fix License Name and Number not showing when customer scans QR code from UAE Verify portal.,,
27,Technical,,Low,,Low,,,eSeal & DV QR Code Study,Study QR code implementations for eSeal and DV similar to European implementations.,,
28,Technical,,High,,Low,,,Infinite Loaders Detection and Resolution,Detect and resolve infinite loading states across the application.,Yes,
29,Technical,,High,,Low,,,Firebase Configuration & Optimization,"Firebase Remote Config and push notification optimization, monitoring, and maintenance.",,
30,Technical,,TBC,,TBC,,,eSeal Transition Support,Support ICP transition from DDA eSeal service to self-signing (own HSM). Ensure validation compatibility.,,To validate it's done with Hindole
31,Technical,,High,,High,,,Performance Enhancement ,Application performance improvements including load times and responsiveness.,,
32,Technical,,High,,High,,,Automated Testing,"Implement automated testing framework for regression and quality assurance, including UI test automation and tool fitment analysis.",Yes,
33,SP ,,,,,SP track ,,Service Provider Communication,,,
35,Design,,TBD,,TBD,Comprehensive audit of current design patterns and identify improvement areas.,,Design Audit,Comprehensive audit of current design patterns and identify improvement areas.,Yes,To be discussed with Ahmed
36,Design,,High,,High,,Yes,Accessibility Enhancement,Improve accessibility compliance (WCAG) across the application.,Yes,
37,UX,,High,,Medium ,,,Enhancement/Revamp Document Request,Redesign the document request flow for improved user experience.,,
38,UX,,High,,Medium ,,,Revamp Document Sharing,Redesign document sharing flow to increase success ,,
40,Product,New feature ,High ,,Low ,,,Enable Download of All issued documents in DV ,Enable downloading all issued documents in DV,Yes,
41,Product,New feature,High,,High,,,Physical Document Sharing,Enable sharing of physical document representations or verified copies.,Yes,
43,Technical Team Suggestions,,High,,High,,,DR Automation (Disaster Recovery),Automate disaster recovery processes including failover testing and recovery procedures. Reduces RTO/RPO and operational risk.,,
44,Technical Team Suggestions,,High,,High,,,Blockchain Upgrade,Upgrade blockchain infrastructure for improved performance and capabilities.,,
45,Technical Team Suggestions,,Medium ,,Medium,,,CI/CD Pipeline Automation,Comprehensive CI/CD automation including code quality gates coverage thresholds and automated UI deployment pipelines.,,
46,Technical Team Suggestions,,High,,Low,,,AI Strategy & Initiative Analysis - Study ,Q1 analysis phase for AI initiatives targeting user experience optimization and operational efficiency followed by Q2-Q4 implementation.,,
47,Technical Team Suggestions,,High,,Medium,,,ELK Stack AI Upgrade,Upgrade Elasticsearch Logstash Kibana stack to leverage AI capabilities for enhanced log analysis and anomaly detection.,,
48,Technical Team Suggestions,,Low,,Medium,,,Automated RCA & Incident Reporting,Automate Root Cause Analysis and incident report generation to reduce mean time to resolution and improve post-incident documentation.,,
53,Technical ,,High,,High,,,SP Integraion through SDK ,Build an SDK to streamline the onboarding process,,
54,Technical ,,High,,Medium ,SP track ,,SP integraion healthcheck in production ,,,
55,Product,,Low,,Low,,,Reminder System,Push notification reminders before expiry. Reduces navigation friction and recaptures distracted users.,No,
56,UX,,High,,Medium ,,,Revisit documents list view ,,Yes,
57,SP ,,Low,,Low,SP track ,,Introducing SP off-boarding ,,,
52,Technical,,High,,High,,,AI use case implemenation ,,,
